created_at,text
2017-11-29,"UPDATE: Fire out at Fenwick Tower, but no power in building. Officials unsure when residents can return. #Halifax https://t.co/dlt8Nu4qgp"
2017-11-29,The bug could potentially give attackers with physical access to a machine access to it without a password https://t.co/9hqyxFvUNT
2017-11-29,"In the first six months of this year 17 people have died in opioid-related deaths in New Brunswick #NewBrunswick 
https://t.co/qEi1CqIaXo"
2017-11-29,"Take a look at 10 objects that tell the story of the worst human-made disaster in Canadian history
https://t.co/KCH3C0csMO"
2017-11-29,If you ever wanted to take a selfie with Jennifer Lawrence you can probably forget it https://t.co/c8kFij2W73
2017-11-29,Crews responding to fire in Fenwick Tower in #Halifax https://t.co/XwGi0K8F12
2017-11-29,"In a resurfaced 2012 interview with Katie Couric, Lauer's former co-anchor, she says he pinches her butt a lot https://t.co/RJH3wL3Vwz"
2017-11-29,"“Since day one in the hospital, he had very bad food reactions — even through my milk,” Micah's mother said https://t.co/8hzEuXHCWV"
2017-11-29,"Updated: The court heard that police found work gloves and rope inside the vehicle driven by Christoper Garnier
https://t.co/SIMEj61MYq"
2017-11-29,"#Halifax police investigating after man found unconscious, injured on Maitland Street https://t.co/g0dOeBIPnD"
2017-11-29,"Updated: Donald Trump re-tweets anti-Muslim videos, White House says threat real even if videos aren’t https://t.co/Pd46PKJ2Hv"
2017-11-29,"""Sea pickles"" may look funny and be relatively harmless to beachgoers, but scientists are concerned about their impact under the ocean https://t.co/MYSZmDEXx1"
2017-11-29,"Jeremy Piven said that the cast and crew plan to ""finish out our 13 episodes with full hearts."" https://t.co/XCVohWzRQO"
2017-11-29,The two cheeky Americans maintained an Instagram account called “Travelling Butts” https://t.co/d7xHTZpQyu
2017-11-29,"At 130 pages, the bill is huge both in terms of physical size and the scope of its proposed changes to how national security actors operate in Canada https://t.co/0TyvMzbHj6 #cdnpoli"
2017-11-29,#NovaScotia auditor has ‘zero concern’ over mandate after premier criticizes report https://t.co/yhFcOtbZ7m
2017-11-29,You'll have goosebumps in mere seconds #InfinityWarTrailer https://t.co/3GSB9yIEH8
2017-11-29,"“There have been a lot of times where I’ve thought, if I have to live like this for the rest of my life, I’d rather get [my eye] taken out” https://t.co/qeAqqGRmwI"
2017-11-29,"“Customers ordered nearly 140 million items from small businesses alone."" https://t.co/V5s8DZqKPL"
2017-11-29,"No, this isn't Photoshopped. And it's unclear how long the obscene message was visible on the sign https://t.co/P1cr7PpCTX"
2017-11-29,WATCH LIVE: Tampa police set to give more information on the arrest of a suspect in a series of murders in the area https://t.co/FE5XHGUaYm
2017-11-29,"Commentary: There’s no smoking gun that proves Bill Morneau's misconduct, but it shows a remarkable political naïveté and horrific judgment, writes @MattGurney https://t.co/UXRqKd1KiN #cdnpoli"
2017-11-29,"This general drank poison, seconds after United Nations judges turned down his appeal against a 20-year sentence for war crimes against Bosnian Muslims. He died in hospital https://t.co/SoXU0bt4p2"
2017-11-29,BREAKING: The newest addition to the Supreme Court of Canada will be Alberta's Sheilah Martin https://t.co/IhXZcZzlZE #cdnpoli
2017-11-29,Police have arrested a man and said they will charge him with murder in a string of random killings that terrorized a Tampa neighbourhood https://t.co/vUAZH9D9pd
2017-11-29,A bachelor’s degree in these fields goes a long way https://t.co/zEyIAHF84b
2017-11-29,Follow @NatashaPace as she live tweets from the Christopher Garnier 2nd-degree murder trial. https://t.co/VuhVmnM7s6
2017-11-29,"""We were also presented with reason to believe this may not have been an isolated incident,” NBC News' chairman said https://t.co/vBTXLcysc6"
2017-11-29,Crosswalk collision fatalities prompt day dedicated to safety in #Halifax https://t.co/1PH1dgJwwx
2017-11-29,North Korea launched its most powerful weapon yet early Wednesday. Some observers believe the missile could put the entire eastern U.S. seaboard within range https://t.co/Er0HjxO20A
2017-11-29,The deputy leader of the group was found guilty last year of religiously aggravated harassment after verbally assaulting a Muslim woman wearing a hijab https://t.co/QLo18v3cjA
2017-11-29,Testimony continues Wednesday in Christopher #Garnier 2nd-degree murder trial https://t.co/AsIFjVYffD
2017-11-29,It's already Dec this week somehow! Global News Morning gets into the holiday spirit after the 8:20 break with Heather Rankin https://t.co/vSypU4j2yD
2017-11-29,Deals aren’t the only way to make the most of your money this holiday season. https://t.co/3RQghTGior
2017-11-29,"Halifax's Irving Shipbuilding has been tasked with building the winning design 
https://t.co/lhzzG2fWHX"
2017-11-29,The online edition of #GlobalNewsMorning with @PaulBrothers &amp; @DaveWSquires. https://t.co/vn6ZOnGRqy
2017-11-29,"Sex -- it should be pleasurable, but for 1 in 10 women, it may be painful. Here's what they can do: https://t.co/ZRdvHo88by"
2017-11-29,"We might be boring professional adults, but we want to play w/ these toys so bad. Mastermind Toys w/ hot holiday toys after the 7:20 break https://t.co/iHSNRYEfRz"
2017-11-29,https://t.co/FNTkoqM1FS
2017-11-29,"For tmw's activity, we're feeling patriotic. Global News Morning is looking for pictures of Canada's summer sport - Lacrosse. Send them our way to see them on the show https://t.co/K6Ar5qKNbj"
2017-11-29,Diana even sent us a video for today's activity! https://t.co/tsM9F3ASdc
2017-11-29,And Diana Loisel sent us so many great photos. She's been dog sledding for 15 years. Her favorite location is Old Branch Road in North Sydney https://t.co/GvzYrsFsWR
2017-11-29,Klaine Johnson sent Global News Morning several pictures of a dog sledding adventure just outside Yellowstone National Park https://t.co/Qtzr9Sb7aJ
